Pays;Indice;TickerFT;Nom;Sector B.
France;CAC40;AC:PAR;ACCOR;Consumer Discretionary
France;CAC40;AI:PAR;AIR LIQUIDE;Materials
France;CAC40;AIR:PAR;AIRBUS SE;Industrials
France;CAC40;MT:AEX;ARCELORMITTAL;Materials
France;CAC40;ATO:PAR;ATOS SE;Technology
France;CAC40;CS:PAR;AXA;Financials
France;CAC40;BNP:PAR;BNP PARIBAS;Financials
France;CAC40;EN:PAR;BOUYGUES;Industrials
France;CAC40;CAP:PAR;CAPGEMINI;Technology
France;CAC40;CA:PAR;CARREFOUR;Consumer Staples
France;CAC40;ACA:PAR;CREDIT AGRICOLE;Financials
France;CAC40;BN:PAR;DANONE;Consumer Staples
France;CAC40;DSY:PAR;DASSAULT SYSTEMES;Technology
France;CAC40;ENGI:PAR;ENGIE;Utilities
France;CAC40;EL:PAR;ESSILORLUXOTTICA;Health Care
France;CAC40;RMS:PAR;HERMES INTERNATIONAL;Consumer Discretionary
France;CAC40;KER:PAR;KERING;Consumer Discretionary
France;CAC40;OR:PAR;L'OREAL;Consumer Staples
France;CAC40;LR:PAR;LEGRAND;Industrials
France;CAC40;MC:PAR;LVMH MOET HENNESSY VUIT..;Consumer Discretionary
France;CAC40;ML:PAR;MICHELIN;Consumer Discretionary
France;CAC40;ORA:PAR;ORANGE;Communications
France;CAC40;RI:PAR;PERNOD RICARD;Consumer Staples
France;CAC40;UG:PAR;PEUGEOT;Consumer Discretionary
France;CAC40;PUB:PAR;PUBLICIS GROUPE;Communications
France;CAC40;RNO:PAR;RENAULT;Consumer Discretionary
France;CAC40;SAF:PAR;SAFRAN;Industrials
France;CAC40;SGO:PAR;SAINT-GOBAIN;Materials
France;CAC40;SAN:PAR;SANOFI;Health Care
France;CAC40;SU:PAR;SCHNEIDER ELECTRIC SE;Industrials
France;CAC40;GLE:PAR;SOCIETE GENERALE;Financials
France;CAC40;SW:PAR;SODEXO;Consumer Discretionary
France;CAC40;STM:PAR;STMICROELECTRONICS;Technology
France;CAC40;FTI:PAR;TECHNIPFMC;Energy
France;CAC40;FP:PAR;TOTAL;Energy
France;CAC40;URW:AEX;UNIBAIL-RODAMCO-WESTFIE..;Real Estate
France;CAC40;FR:PAR;VALEO;Consumer Discretionary
France;CAC40;VIE:PAR;VEOLIA ENVIRONNEMENT;Utilities
France;CAC40;DG:PAR;VINCI;Industrials
France;CAC40;VIV:PAR;VIVENDI;Communications
France;CAC Next20;AF:PAR;AIR FRANCE KLM;Consumer Discretionary
France;CAC Next20;ALO:PAR;ALSTOM;Industrials
France;CAC Next20;AKE:PAR;ARKEMA;Materials
France;CAC Next20;BVI:PAR;BUREAU VERITAS;Consumer Discretionary
France;CAC Next20;EDEN:PAR;EDENRED;Consumer Discretionary
France;CAC Next20;EDF:PAR;EDF;Utilities
France;CAC Next20;FGR:PAR;EIFFAGE;Industrials
France;CAC Next20;EO:PAR;FAURECIA;Consumer Discretionary
France;CAC Next20;GFC:PAR;GECINA;Financials
France;CAC Next20;GTO:AEX;GEMALTO;Technology
France;CAC Next20;ING:PAR;INGENICO;Technology
France;CAC Next20;LI:PAR;KLEPIERRE;Real Estate
France;CAC Next20;KN:PAR;NATIXIS;Financials
France;CAC Next20;SCR:PAR;SCOR SE;Financials
France;CAC Next20;SESG:PAR;SES;Communications
France;CAC Next20;SOLB:BRU;SOLVAY;Materials
France;CAC Next20;SEV:PAR;SUEZ;Utilities
France;CAC Next20;TEP:PAR;TELEPERFORMANCE;Technology
France;CAC Next20;HO:PAR;THALES;Industrials
France;CAC Next20;UBI:PAR;UBISOFT;Technology
Belgique;BEL20;ABI:BRU;AB INBEV;Consumer Staples
Belgique;BEL20;ACKB:BRU;ACKERMANS V.HAAREN;Industrials
Belgique;BEL20;FORB:BRU;AGEAS;Financials
Belgique;BEL20;APAM:AEX;APERAM;Materials
Belgique;BEL20;ARGX:BRU;ARGENX SE;Health Care
Belgique;BEL20;BAR:BRU;BARCO;Technology
Belgique;BEL20;COFB:BRU;COFINIMMO;Real Estate
Belgique;BEL20;COLR:BRU;COLRUYT;Consumer Staples
Belgique;BEL20;GLPG:AEX;GALAPAGOS;Health Care
Belgique;BEL20;GBLB:BRU;GBL - Groupe Bruxelles Lambert;Financials
Belgique;BEL20;INGA:AEX;ING GROEP N.V.;Financials
Belgique;BEL20;KBC:BRU;KBC;Financials
Belgique;BEL20;ONTEX:BRU;ONTEX GROUP;Consumer Staples
Belgique;BEL20;PROX:BRU;PROXIMUS;Communications
Belgique;BEL20;SOF:BRU;SOFINA;Financials
